epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,155.754,1.19286,1.79096,1.0448,0.66263,0.47436,0.51702,0.38503,1.03351,1.10817,0.96578,0.00332925,0.00332925,0.00332925
2,301.705,1.11733,1.09735,1.00532,0.68173,0.53434,0.5717,0.41435,1.01318,0.89104,0.95399,0.00659662,0.00659662,0.00659662
3,447.629,1.14139,1.05187,1.01661,0.67863,0.50596,0.55147,0.39596,1.0568,0.93178,0.98272,0.009798,0.009798,0.009798
4,593.471,1.14493,1.01308,1.01951,0.72264,0.54534,0.58675,0.40915,1.06486,0.84384,0.98201,0.009703,0.009703,0.009703
5,737.592,1.09229,0.92903,1.00015,0.73133,0.566,0.61082,0.44467,0.98239,0.77898,0.95322,0.009604,0.009604,0.009604
6,882.961,1.06538,0.87493,0.98724,0.72569,0.55278,0.61153,0.45024,0.9667,0.74523,0.94894,0.009505,0.009505,0.009505
7,1027.89,1.0355,0.82406,0.97533,0.75923,0.56012,0.63574,0.47016,0.92957,0.71408,0.93247,0.009406,0.009406,0.009406
8,1173.62,1.01697,0.80344,0.96999,0.75847,0.5929,0.66078,0.48743,0.91608,0.68206,0.92681,0.009307,0.009307,0.009307
9,1321.49,1.00158,0.78125,0.96375,0.75541,0.59111,0.66312,0.49428,0.90809,0.6872,0.91989,0.009208,0.009208,0.009208
10,1468.4,0.98597,0.75924,0.9585,0.77833,0.61516,0.68567,0.51395,0.87916,0.64268,0.91351,0.009109,0.009109,0.009109
11,1615.97,0.97602,0.74539,0.95418,0.77753,0.61302,0.68644,0.51544,0.87877,0.63427,0.91119,0.00901,0.00901,0.00901
12,1764.87,0.97141,0.7367,0.95244,0.77372,0.62399,0.69611,0.52676,0.86363,0.61981,0.90498,0.008911,0.008911,0.008911
13,1913.08,0.96148,0.72493,0.94788,0.78598,0.63337,0.69898,0.52775,0.86608,0.62843,0.90636,0.008812,0.008812,0.008812
14,2059.35,0.94822,0.71015,0.9427,0.78453,0.64538,0.70998,0.5343,0.85469,0.611,0.90169,0.008713,0.008713,0.008713
15,2206.37,0.94756,0.70465,0.94339,0.78894,0.63886,0.71064,0.53687,0.84967,0.59802,0.89895,0.008614,0.008614,0.008614
16,2353.71,0.93913,0.69786,0.93888,0.79766,0.64723,0.70979,0.5381,0.84159,0.59251,0.89712,0.008515,0.008515,0.008515
17,2502.42,0.9302,0.68752,0.9377,0.79205,0.64673,0.71708,0.55088,0.82886,0.58274,0.89296,0.008416,0.008416,0.008416
18,2650.11,0.92785,0.68155,0.93539,0.79499,0.65624,0.72183,0.55264,0.82527,0.57908,0.89081,0.008317,0.008317,0.008317
19,2798.76,0.91774,0.6737,0.93301,0.79172,0.65563,0.72421,0.55411,0.82377,0.57086,0.89176,0.008218,0.008218,0.008218
20,2946.51,0.91748,0.67241,0.9329,0.81617,0.65128,0.72778,0.56077,0.81917,0.56179,0.88985,0.008119,0.008119,0.008119
21,3095.33,0.91386,0.66625,0.93098,0.80966,0.65683,0.73143,0.56349,0.81395,0.55769,0.88746,0.00802,0.00802,0.00802
22,3243.88,0.9076,0.66043,0.93126,0.79414,0.66106,0.72913,0.56134,0.81816,0.56586,0.8871,0.007921,0.007921,0.007921
23,3392.85,0.90112,0.65005,0.92768,0.802,0.66732,0.73606,0.56504,0.80935,0.55234,0.88542,0.007822,0.007822,0.007822
24,3536.56,0.89763,0.64634,0.92457,0.81827,0.65748,0.73605,0.56712,0.80394,0.54748,0.88365,0.007723,0.007723,0.007723
25,3680.54,0.89892,0.64004,0.92388,0.80762,0.67424,0.7409,0.57291,0.79893,0.53975,0.88044,0.007624,0.007624,0.007624
26,3824.84,0.89528,0.64677,0.92563,0.80872,0.66635,0.73851,0.5714,0.80123,0.54607,0.88031,0.007525,0.007525,0.007525
27,3970.27,0.88891,0.6356,0.92245,0.81936,0.6662,0.74177,0.57501,0.79471,0.53675,0.87986,0.007426,0.007426,0.007426
28,4113.46,0.88004,0.63219,0.92344,0.80324,0.68605,0.74586,0.57808,0.78967,0.53268,0.87896,0.007327,0.007327,0.007327
29,4258.46,0.88496,0.63309,0.92154,0.81803,0.6729,0.74639,0.57739,0.7954,0.52933,0.88123,0.007228,0.007228,0.007228
30,4404.08,0.87925,0.62648,0.92061,0.81303,0.68461,0.75074,0.58294,0.78531,0.52433,0.87832,0.007129,0.007129,0.007129
31,4547.41,0.87567,0.62245,0.91893,0.82301,0.67628,0.75061,0.58338,0.78356,0.5222,0.87719,0.00703,0.00703,0.00703
32,4691.95,0.87367,0.6194,0.91849,0.82599,0.68474,0.7574,0.59009,0.78023,0.5172,0.87433,0.006931,0.006931,0.006931
33,4834.64,0.87103,0.61811,0.91735,0.82583,0.68275,0.75556,0.58847,0.77661,0.51783,0.87398,0.006832,0.006832,0.006832
34,4978.27,0.87146,0.61357,0.91661,0.83129,0.68289,0.75652,0.58992,0.77723,0.51559,0.8744,0.006733,0.006733,0.006733
35,5122.27,0.8638,0.613,0.91602,0.81736,0.69088,0.75797,0.59152,0.77244,0.51112,0.87307,0.006634,0.006634,0.006634
36,5263.92,0.86168,0.60464,0.9136,0.82698,0.68859,0.75904,0.59301,0.76893,0.51021,0.87213,0.006535,0.006535,0.006535
37,5405.81,0.86283,0.60764,0.91414,0.82182,0.69464,0.75973,0.59382,0.76777,0.5082,0.87124,0.006436,0.006436,0.006436
